id,name,serving_size,total_content,calories,protein,fat,carbohydrate,sugars,dietary_fiber,calcium,iron,potassium,sodium,vitamin,cholesterol,total_fat
1,바나나킥,25,75,150,2,2,30,15,0,0,0,0,45,0,0,0
2,포카칩,30,60,501,4,25,34,1,0,0,0,0,250,0,0,0
3,화이트하임,47,47,250,3.4,14,29,18,0,0,0,0,65,0,5,0
4,양파링,40,84,190,2,9,27,2,0,0,0,0,260,0,0,0
5,오레오,50,100,250,2,12.3,33,18,0,0,0,0,200,0,0,0
6,아몬드빼빼로,37,37,200,4,11,21,10,0,0,0,0,70,0,3,0
7,후렌치파이,26,192,130,1,6,16,7,0,0,0,0,60,0,3,0
8,벌집핏자,30,90,155,1,8,20,2.1,0,0,0,0,190,0,0,0
9,새우깡,30,90,145,2,7,19,1,0,40,0,0,150,0,0,0
10,꼬북칩,30,80,157,1,9,18,2,0,0,0,0,170,0,0,0
